bez_nr,name,aci_equal,aci_green_focus,aci_sport_focus,aci_mob_focus,rank_equal,rank_green_focus,rank_sport_focus,rank_mob_focus,delta_rank_green_focus_vs_equal,delta_rank_sport_focus_vs_equal,delta_rank_mob_focus_vs_equal
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,0.748611,0.711560,0.740761,0.793514,1,2,1,1,1,0,0
1,Altstadt-Lehel,0.619496,0.714622,0.501570,0.642297,2,1,6,2,-1,4,0
22,Aubing-Lochhausen-Langwied,0.562677,0.484178,0.624273,0.579580,3,4,2,3,1,-1,0
15,Trudering-Riem,0.520589,0.494424,0.578826,0.488516,4,3,4,4,-1,0,0
11,Milbertshofen-Am Hart,0.499102,0.419011,0.600979,0.477315,5,5,3,5,0,-2,0
12,Schwabing-Freimann,0.441562,0.387940,0.511611,0.425134,6,7,5,6,1,-1,0
6,Sendling,0.423638,0.379528,0.477034,0.414352,7,9,7,8,2,0,1
18,Untergiesing-Harlaching,0.419489,0.393311,0.468890,0.396266,8,6,8,9,-2,0,1
10,Moosach,0.414712,0.382116,0.446400,0.415619,9,8,10,7,-1,1,-2
7,Sendling-Westpark,0.392968,0.347124,0.452248,0.379530,10,11,9,11,1,-1,1
16,Ramersdorf-Perlach,0.380855,0.317666,0.441286,0.383613,11,13,11,10,2,0,-1
13,Bogenhausen,0.364231,0.331194,0.395143,0.366357,12,12,12,12,0,0,0
3,Maxvorstadt,0.310484,0.375239,0.248476,0.307736,13,10,19,14,-3,6,1
9,Neuhausen-Nymphenburg,0.300002,0.314500,0.309708,0.275800,14,14,13,18,0,-1,4
14,Berg am Laim,0.295429,0.305504,0.281831,0.298951,15,15,16,15,0,1,0
21,Pasing-Obermenzing,0.289416,0.292373,0.293950,0.281926,16,17,14,17,1,-2,1
5,Au-Haidhausen,0.279380,0.263277,0.278726,0.296136,17,18,17,16,1,0,-1
2,Ludwigsvorstadt-Isarvorstadt,0.270103,0.254497,0.212162,0.343649,18,19,20,13,1,2,-5
25,Laim,0.248932,0.295320,0.210376,0.241098,19,16,21,21,-3,2,2
17,Obergiesing-Fasangarten,0.243403,0.202801,0.258147,0.269260,20,21,18,19,1,-2,-1
24,Feldmoching-Hasenbergl,0.238605,0.201287,0.292321,0.222209,21,22,15,23,1,-6,2
4,Schwabing-West,0.211803,0.205024,0.197237,0.233147,22,20,22,22,-2,0,0
8,Schwanthalerhöhe,0.204631,0.168472,0.184226,0.261196,23,23,23,20,0,0,-3
23,Allach-Untermenzing,0.076877,0.068983,0.071686,0.089962,24,24,24,24,0,0,0
20,Hadern,0.030244,0.023805,0.038503,0.028425,25,25,25,25,0,0,0
