bez_nr,name,sports_count,sports_area_ha,sports_pro_1000_einw,sports_area_anteil_prozent
1,Altstadt-Lehel,19,3.8439,0.9101,1.2219
2,Ludwigsvorstadt-Isarvorstadt,37,1.2037,0.7388,0.2735
3,Maxvorstadt,45,1.0819,0.8582,0.2517
4,Schwabing-West,56,6.8171,0.8162,1.5624
5,Au-Haidhausen,66,10.8298,1.0317,2.5663
6,Sendling,59,24.1579,1.4390,6.1332
7,Sendling-Westpark,101,43.1438,1.6228,5.5207
8,Schwanthalerhöhe,28,1.4722,0.9762,0.7111
9,Neuhausen-Nymphenburg,139,31.5086,1.3641,2.4397
10,Moosach,128,27.6255,2.2851,2.4902
11,Milbertshofen-Am Hart,212,80.1635,2.7432,5.9747
12,Schwabing-Freimann,208,94.5649,2.6981,3.6832
13,Bogenhausen,164,80.4213,1.7177,3.3914
14,Berg am Laim,68,6.0502,1.4356,0.9580
15,Trudering-Riem,133,152.5727,1.7436,6.7949
16,Ramersdorf-Perlach,257,79.5021,2.1279,3.9957
17,Obergiesing-Fasangarten,83,8.5948,1.5271,1.5024
18,Untergiesing-Harlaching,93,40.8961,1.7201,5.0757
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,146,29.1448,1.4077,1.6407
20,Hadern,59,19.1812,1.1426,2.0795
21,Pasing-Obermenzing,132,40.6523,1.6136,2.4641
22,Aubing-Lochhausen-Langwied,149,39.6274,2.4422,1.1636
23,Allach-Untermenzing,49,14.8629,1.3525,0.9619
24,Feldmoching-Hasenbergl,110,91.9678,1.7253,3.1780
25,Laim,34,6.9106,0.5953,1.3073
