name,active_city_index
Laim,0.1880
Feldmoching-Hasenbergl,0.2193
Maxvorstadt,0.2199
Hadern,0.2207
Schwabing-West,0.2382
Schwanthalerhöhe,0.2579
Ludwigsvorstadt-Isarvorstadt,0.2594
Obergiesing-Fasangarten,0.2676
Allach-Untermenzing,0.2796
Aubing-Lochhausen-Langwied,0.2887
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,0.3081
Au-Haidhausen,0.3228
Berg am Laim,0.3527
Bogenhausen,0.3675
Pasing-Obermenzing,0.3887
Neuhausen-Nymphenburg,0.4236
Ramersdorf-Perlach,0.4454
Moosach,0.4542
Untergiesing-Harlaching,0.4817
Sendling-Westpark,0.5109
Schwabing-Freimann,0.5294
Sendling,0.5608
Trudering-Riem,0.5721
Milbertshofen-Am Hart,0.5918
Altstadt-Lehel,0.6510
